source,target,weight
0,73,5
0,101,5
0,83,5
0,79,5
0,96,5
0,53,10
0,131,5
0,14,5
0,34,5
0,35,5
0,26,5
0,133,5
0,135,5
0,137,5
0,38,10
0,89,5
0,162,5
0,43,5
0,128,5
0,72,5
0,160,5
0,90,5
0,75,5
0,171,5
0,84,5
0,9,5
0,15,5
0,1,5
0,100,5
0,19,5
0,33,5
0,55,5
0,20,5
0,91,5
0,85,10
0,68,10
0,65,5
0,49,5
0,61,5
0,5,5
0,77,5
0,21,5
0,4,5
0,27,5
0,11,5
0,6,5
0,7,10
1,101,5
1,36,10
1,9,10
160,2,10
173,2,10
2,91,10
2,96,10
2,100,5
2,122,5
2,83,10
119,2,10
111,2,10
2,4,10
2,19,5
2,34,10
2,84,5
2,15,5
107,2,10
105,2,10
2,9,10
2,25,10
2,80,5
2,27,10
2,46,10
2,1,5
2,39,10
14,2,10
2,8,10
3,68,10
3,166,5
3,83,5
3,38,10
165,3,10
3,81,10
3,108,5
3,58,10
3,60,10
3,62,5
3,79,10
3,90,10
160,3,10
3,91,5
3,55,10
3,96,5
27,3,10
3,61,10
3,80,5
17,3,10
3,93,10
3,85,10
3,9,5
23,3,10
3,2,5
3,11,5
3,8,10
3,6,10
3,33,10
3,4,10
3,7,10
3,28,5
18,3,10
10,3,10
12,3,10
13,3,10
104,4,10
4,72,10
4,101,5
165,4,10
166,4,10
4,39,5
4,41,5
4,94,10
160,4,10
172,4,10
162,4,10
34,4,10
4,83,10
4,90,10
4,100,5
108,4,10
4,107,5
4,62,10
4,105,5
19,4,10
14,4,10
4,93,10
4,49,10
4,50,10
4,15,5
4,58,10
38,4,10
20,4,10
4,51,10
4,63,10
4,45,10
4,78,10
4,79,10
4,43,10
4,84,5
4,55,10
4,85,10
4,96,10
13,4,10
22,4,10
24,4,10
4,57,10
4,67,10
16,4,10
4,89,10
21,4,10
4,8,10
4,60,10
4,1,5
4,91,10
4,54,10
4,59,10
4,47,10
30,4,10
23,4,10
4,68,10
4,61,10
4,77,10
27,4,10
18,4,10
25,4,10
12,4,10
4,7,10
4,9,10
10,4,10
29,4,10
4,28,5
17,4,10
35,4,10
33,4,10
11,4,10
4,6,10
4,5,10
5,174,5
5,3,5
5,177,5
5,104,5
102,5,10
5,62,5
117,5,10
5,119,5
165,5,10
5,90,5
5,79,5
5,19,5
5,34,5
17,5,10
5,30,5
5,59,10
5,63,10
5,85,5
5,68,10
5,77,10
42,5,10
27,5,10
21,5,10
23,5,10
18,5,10
5,8,10
12,5,10
13,5,10
11,5,10
10,5,10
5,7,10
5,6,5
6,119,5
171,6,10
146,6,10
6,85,5
6,30,5
6,113,5
6,143,5
6,159,5
6,105,5
123,6,10
6,83,5
160,6,10
116,6,10
6,50,5
6,88,10
44,6,10
6,101,5
6,131,5
6,94,10
6,75,10
6,165,5
6,112,5
6,122,5
6,111,5
6,90,10
55,6,10
6,96,10
162,6,10
166,6,10
6,15,5
6,89,10
110,6,10
6,1,5
43,6,10
6,39,5
6,9,10
6,93,10
6,79,10
20,6,10
6,91,10
6,78,10
6,77,10
6,61,10
6,60,10
25,6,10
51,6,10
6,46,5
6,41,5
6,42,5
45,6,10
38,6,10
35,6,10
29,6,10
27,6,10
10,6,10
11,6,10
6,2,5
6,7,10
7,108,5
7,112,5
160,7,10
7,72,10
7,143,5
7,165,5
7,83,5
7,50,5
7,52,5
182,7,10
166,7,10
66,7,10
7,63,5
7,95,10
7,99,10
110,7,10
163,7,10
7,107,5
162,7,10
7,75,10
104,7,10
7,90,10
7,19,5
7,100,5
7,84,5
7,94,10
7,82,10
7,36,5
58,7,10
7,97,5
7,96,5
7,89,10
55,7,10
7,93,10
7,92,10
7,91,5
7,85,10
49,7,10
7,69,5
7,34,5
7,80,5
43,7,10
7,1,5
7,78,10
7,79,10
7,77,10
7,76,10
7,70,10
68,7,10
62,7,10
59,7,10
67,7,10
61,7,10
60,7,10
39,7,10
57,7,10
7,8,10
7,14,5
25,7,10
7,41,5
54,7,10
7,16,5
48,7,10
51,7,10
10,7,10
7,47,5
42,7,10
45,7,10
38,7,10
17,7,10
7,20,5
7,30,5
35,7,10
27,7,10
21,7,10
24,7,10
33,7,10
29,7,10
7,9,5
7,28,5
22,7,10
23,7,10
18,7,10
13,7,10
12,7,10
11,7,10
7,2,5
108,8,10
72,8,10
35,8,10
38,8,10
75,8,10
104,8,10
8,93,10
116,8,10
173,8,10
8,41,5
8,145,5
128,8,10
53,8,10
8,31,5
8,90,10
171,8,10
8,105,5
8,101,5
122,8,10
8,50,5
166,8,10
165,8,10
8,85,10
160,8,10
8,111,5
8,83,5
8,25,5
8,100,5
8,84,5
8,107,5
19,8,10
8,96,10
20,8,10
55,8,10
8,80,5
8,91,10
79,8,10
60,8,10
61,8,10
8,30,5
68,8,10
77,8,10
8,21,5
8,1,5
12,8,10
57,8,10
27,8,10
8,14,5
8,15,5
8,9,5
8,28,5
8,23,5
8,6,5
11,8,10
13,8,10
10,8,10
160,9,10
9,90,10
73,9,10
9,31,5
9,101,5
9,111,5
83,9,10
171,9,10
109,9,10
9,38,5
9,69,5
50,9,10
20,9,10
9,61,5
100,9,10
43,9,10
9,35,5
9,60,5
9,96,10
9,15,5
55,9,10
68,9,10
9,84,5
9,11,5
9,13,5
10,9,10
77,9,10
41,9,10
9,27,5
9,80,5
19,9,10
9,91,10
10,119,5
10,101,5
10,111,5
10,83,10
10,72,10
10,104,10
10,79,10
10,58,10
10,105,5
10,61,10
10,29,10
10,45,10
10,51,10
10,80,5
10,55,10
10,85,10
10,91,10
10,96,10
10,20,10
10,14,5
10,48,10
10,68,10
10,90,10
10,60,5
10,77,10
10,64,10
10,39,10
10,57,10
10,41,5
10,1,5
10,28,5
10,30,5
10,27,10
10,17,10
10,33,10
10,16,10
10,12,10
10,22,10
10,24,10
10,23,10
10,21,5
10,2,5
10,18,5
10,13,10
10,11,10
11,169,10
11,173,10
11,35,10
11,19,5
11,174,10
11,101,5
