id,handle,followers_count,friends_count,isProxy
0,"joaoneisinger",82,497,0
1,"tagesschau",3883748,325,0
2,"greenpeace_de",452176,1714,0
3,"netzbegruenung",2632,603,0
4,"Die_Gruenen",654014,5942,0
5,"GJstuttgart",1321,385,0
6,"Gruene_Bayern",15513,611,0
7,"GJ_Bayern",5893,2514,0
8,"janoschdahmen",28828,3603,0
9,"extra3",1090282,2886,0
10,"gruenenrw",35328,1970,0
11,"gruene_jugend",76318,468,0
12,"GJNds",3709,2111,0
13,"GrueneJugendNRW",3718,550,0
14,"amnesty_de",215348,1079,0
15,"faznet",797599,332,0
16,"queer_de",27905,2369,0
17,"parteitag",1484,4235,0
18,"GJHessen",3123,381,0
19,"janboehm",2704445,2238,0
20,"cem_oezdemir",365154,1435,0
21,"gjbw",3623,509,0
22,"GrueneJugendDo",567,449,0
23,"GJSH",2738,288,0
24,"gjlohmar",252,76,0
25,"Umwelthilfe",72824,1290,0
26,"nuernberg_de",100574,857,0
27,"GrueneBundestag",189426,837,0
28,"gj_mtk",580,45,0
29,"gruene_erlangen",719,304,0
30,"europeangreens",61332,150,0
31,"KamalaHarris",20136493,730,0
32,"Bluepingu",1018,576,0
33,"gjgoettingen",2405,2026,0
34,"ProAsyl",53390,1258,0
35,"GansGruen",21062,1267,0
36,"BR_Franken",27587,422,0
37,"museen_nbg",2445,516,0
38,"SaschaMuller",1635,1516,0
39,"klimareport",61037,920,0
40,"NuernbergKultur",5462,134,0
41,"BILDblog",226024,112,0
42,"GJ_Mannheim",551,92,0
43,"Osgyan",1848,1122,0
44,"sannekurz",1280,1153,0
45,"GrueneListe",856,804,0
46,"greenpeace_n",907,94,0
47,"GJ_Leipzig",1511,423,0
48,"GJHennef",310,66,0
49,"_verdi",34048,1173,0
50,"marga_owski",192311,1530,0
51,"gj_muenchen",2324,396,0
52,"JonasGraeber",1476,1834,0
53,"mike_bock",885,2544,0
54,"gj_lsa",1306,718,0
55,"ErikMarquardt",98181,5968,0
56,"redsideNBG",1552,495,0
57,"GJMoers",269,551,0
58,"henfling_m",5717,2472,0
59,"gj_sachsen",2183,620,0
60,"KathaSchulze",40542,1899,0
61,"Gruene_Europa",13043,533,0
62,"gjberlin",3810,496,0
63,"GJ_Ortenau",412,157,0
64,"GJKreisKleve",305,239,0
65,"verdi_Jugend",6778,412,0
66,"gjbochum",657,847,0
67,"gj_thueringen",2151,539,0
68,"fbanaszak",12141,2679,0
69,"nsuwatch",46568,74,0
70,"GrueneJugendFFM",633,214,0
71,"OstraZielen",2964,583,0
72,"xsarahleee",38321,1265,0
73,"GeorgineKellerm",40489,516,0
74,"GjTrier",251,377,0
75,"SaskiaLeaRaquel",3594,488,0
76,"gjaugsburg",475,1113,0
77,"GoeringEckardt",222245,1978,0
78,"H_Stieglmeier",787,673,0
79,"jamila_anna",31709,1906,0
80,"GregorGysi",486339,148,0
81,"KrohnCaroline",2379,4870,0
82,"gj_brandenburg",1512,395,0
83,"Luisamneubauer",419836,1584,0
84,"ZDFheute",1000856,326,0
85,"MissCharlez",12883,3536,0
86,"gjkiel",521,207,0
87,"HeislerLexi",972,2941,0
88,"BozogluCemal",961,846,0
89,"Gruene_Nbg",913,249,0
90,"Ricarda_Lang",125418,5332,0
91,"RenateKuenast",84858,2231,0
92,"GJMittelfranken",151,154,0
93,"EvaLettenbauer",2823,968,0
94,"gruen_seb",3046,1259,0
95,"GrueneJugendMV",608,417,0
96,"ABaerbockArchiv",413074,1456,0
97,"nn_lokales",8002,305,0
98,"benedikt_mader",301,544,0
99,"gj_hal",523,437,0
100,"heuteshow",1569625,13,0
101,"c_drosten",1015986,161,0
102,"HannesRoseni",112,1087,0
103,"alarm_phone",51230,1258,0
104,"nyke_slawik",16699,1010,0
105,"seawatchcrew",108185,424,0
106,"nz_lokal",2831,170,0
107,"Ende__Gelaende",68664,1224,0
108,"SvenjaAppuhn",2494,2358,0
109,"JFDA_eV",35363,4131,0
110,"Rauscher_Peter",341,185,0
111,"GretaThunberg",5026152,2847,0
112,"_Seebruecke_",54842,529,0
113,"Unteilbar_",24066,2246,0
114,"SeebrueckeNbg",895,349,0
115,"GJGiessen",125,195,0
116,"AndreasKrahl1",557,273,0
117,"gjbielefeld",230,282,0
118,"gjNordBerlin",70,27,0
119,"FridayForFuture",244012,1006,0
120,"FFFNuernberg",1816,188,0
121,"lukas_schlapp",229,866,0
122,"sciforfuture",115273,1612,0
